Nr.;#;Company;Location_HQ;Country;Continent;Laid_Off;Date_layoffs;Percentage;Company_Size_before_Layoffs;Company_Size_after_layoffs;Industry;Stage;Money_Raised_in_$_mil;Year;lat;lng
840;2194;Arrival;London;United Kingdom;Europe;480.0;2022-07-13;30.0;2080.0;1600.0;Transportation;Post-IPO;$629;2022;51.50853;-0.12574
841;2197;Gopuff;Philadelphia;USA;North America;1500.0;2022-07-12;10.0;15000.0;13500.0;Food;Series H;$3400;2022;39.95238;-75.16362
842;2200;Hubilo;San Francisco Bay Area;USA;North America;45.0;2022-07-12;12.0;375.0;330.0;Marketing;Series B;$153;2022;37.77493;-122.41942
843;2204;Hopin;London;United Kingdom;Europe;242.0;2022-07-11;29.0;834.0;592.0;Other;Series D;$1000;2022;51.50853;-0.12574
844;2206;SundaySky;New York City;USA;North America;24.0;2022-07-11;13.0;185.0;161.0;Marketing;Series D;$74;2022;40.71427;-74.00597
845;2212;Butler Hospitality;New York City;USA;North America;1000.0;2022-07-08;100.0;1000.0;0.0;Food;Series B;$50;2022;40.71427;-74.00597
846;2213;Calibrate;New York City;USA;North America;156.0;2022-07-08;24.0;650.0;494.0;Healthcare;Series B;$127;2022;40.71427;-74.00597
847;2215;Argo AI;Pittsburgh;USA;North America;150.0;2022-07-07;5.0;3000.0;2850.0;Transportation;Unknown;;2022;40.44062;-79.99589
848;2216;Next Insurance;San Francisco Bay Area;USA;North America;150.0;2022-07-07;17.0;882.0;732.0;Finance;Series E;$881;2022;37.44188;-122.14302
849;2218;Emotive;Los Angeles;USA;North America;30.0;2022-07-07;18.0;167.0;137.0;Marketing;Series B;$78;2022;34.05223;-118.24368
850;2221;Remote;San Francisco Bay Area;USA;North America;100.0;2022-07-06;9.0;1111.0;1011.0;HR;Series C;$496;2022;37.77493;-122.41942
851;2223;Anodot;Tel Aviv;Israel;Asia;35.0;2022-07-06;27.0;130.0;95.0;Data;Series C;$64;2022;32.08088;34.78057
852;2224;SQream;New York City;USA;North America;30.0;2022-07-06;18.0;167.0;137.0;Data;Series B;$77;2022;40.71427;-74.00597
853;2225;Anodot;Tel Aviv;Israel;Asia;15.0;2022-07-06;20.0;75.0;60.0;Data;Series C;$64;2022;32.08088;34.78057
854;2227;Loft;Sao Paulo;Brazil;South America;384.0;2022-07-05;12.0;3200.0;2816.0;Real Estate;Unknown;$788;2022;-23.5475;-46.63611
855;2228;Bizzabo;New York City;USA;North America;120.0;2022-07-05;30.0;400.0;280.0;Marketing;Series E;$194;2022;40.71427;-74.00597
856;2229;eToro;Tel Aviv;Israel;Asia;100.0;2022-07-05;6.0;1667.0;1567.0;Finance;Unknown;$322;2022;32.08088;34.78057
857;2230;Verbit;New York City;USA;North America;80.0;2022-07-05;10.0;800.0;720.0;Data;Series E;$569;2022;40.71427;-74.00597
858;2231;Outschool;San Francisco Bay Area;USA;North America;31.0;2022-07-05;18.0;172.0;141.0;Education;Series D;$240;2022;37.77493;-122.41942
859;2232;Bullish;Hong Kong;Hong Kong;Asia;30.0;2022-07-05;8.0;375.0;345.0;Crypto;Unknown;$300;2022;22.27832;114.17469
860;2233;Transmit Security;Boston;USA;North America;27.0;2022-07-05;7.0;386.0;359.0;Security;Series A;$583;2022;42.35843;-71.05977
861;2234;Thimble;New York City;USA;North America;20.0;2022-07-05;33.0;61.0;41.0;Finance;Series A;$28;2022;40.71427;-74.00597
862;2235;Syte;Tel Aviv;Israel;Asia;13.0;2022-07-05;8.0;163.0;150.0;Retail;Series C;$71;2022;32.08088;34.78057
863;2236;Lightricks;Jerusalem;Israel;Asia;80.0;2022-07-04;12.0;667.0;587.0;Consumer;Series D;$335;2022;31.76904;35.21633
864;2238;Sendle;Sydney;Australia;Australia;27.0;2022-07-04;12.0;225.0;198.0;Logistics;Series C;$69;2022;-33.86785;151.20732
865;2239;Lendis;Berlin;Germany;Europe;18.0;2022-07-04;15.0;120.0;102.0;Other;Series A;$90;2022;52.52437;13.41053
866;2242;Celsius;New York City;USA;North America;150.0;2022-07-03;25.0;600.0;450.0;Crypto;Series B;$864;2022;40.71427;-74.00597
867;2246;WanderJaunt;San Francisco Bay Area;USA;North America;85.0;2022-07-01;100.0;85.0;0.0;Travel;Series B;$26;2022;37.77493;-122.41942
868;2247;Canoo;Los Angeles;USA;North America;58.0;2022-07-01;6.0;967.0;909.0;Transportation;Post-IPO;$300;2022;34.05223;-118.24368
869;2249;Teleport;San Francisco Bay Area;USA;North America;15.0;2022-07-01;6.0;250.0;235.0;Infrastructure;Series C;$169;2022;37.80437;-122.2708
870;2251;Enjoy;San Francisco Bay Area;USA;North America;400.0;2022-06-30;18.0;2222.0;1822.0;Retail;Post-IPO;$310;2022;37.44188;-122.14302
871;2252;Crejo.Fun;Bengaluru;India;Asia;170.0;2022-06-30;100.0;170.0;0.0;Education;Seed;$3;2022;12.97194;77.59369
872;2253;Stash Financial;New York City;USA;North America;40.0;2022-06-30;8.0;500.0;460.0;Finance;Unknown;$480;2022;40.71427;-74.00597
873;2254;Nate;New York City;USA;North America;30.0;2022-06-30;20.0;150.0;120.0;Retail;Series A;$47;2022;40.71427;-74.00597
874;2256;Stream;Boulder;USA;North America;20.0;2022-06-30;12.0;167.0;147.0;Product;Series B;$58;2022;40.01499;-105.27055
875;2257;Finleap Connect;Hamburg;Germany;Europe;14.0;2022-06-30;10.0;140.0;126.0;Finance;Series A;$22;2022;53.55073;9.99302
876;2258;Abra;San Francisco Bay Area;USA;North America;12.0;2022-06-30;5.0;240.0;228.0;Crypto;Series C;$106;2022;37.70215;-121.93579
877;2263;Unity;San Francisco Bay Area;USA;North America;200.0;2022-06-29;4.0;5000.0;4800.0;Other;Post-IPO;$1300;2022;37.77493;-122.41942
878;2264;Niantic;San Francisco Bay Area;USA;North America;85.0;2022-06-29;8.0;1063.0;978.0;Consumer;Series D;$770;2022;37.77493;-122.41942
879;2266;Qumulo;Seattle;USA;North America;80.0;2022-06-29;19.0;421.0;341.0;Data;Series E;$347;2022;47.60621;-122.33207
880;2267;Clutch;Toronto;Canada;North America;76.0;2022-06-29;22.0;345.0;269.0;Transportation;Series B;$153;2022;43.70643;-79.39864
881;2269;Oye Rickshaw;New Delhi;India;Asia;40.0;2022-06-29;20.0;200.0;160.0;Transportation;Unknown;$13;2022;28.65195;77.23149
882;2270;Rows;Berlin;Germany;Europe;18.0;2022-06-29;30.0;60.0;42.0;Other;Series B;$25;2022;52.52437;13.41053
883;2271;Baton;San Francisco Bay Area;USA;North America;16.0;2022-06-29;25.0;64.0;48.0;Transportation;Series A;$13;2022;37.77493;-122.41942
884;2272;Substack;San Francisco Bay Area;USA;North America;13.0;2022-06-29;14.0;93.0;80.0;Media;Series B;$82;2022;37.77493;-122.41942
885;2278;Huobi;Bejing;China;Asia;300.0;2022-06-28;30.0;1000.0;700.0;Crypto;Unknown;$2;2022;39.9075;116.39723
886;2280;StockX;Detroit;USA;North America;120.0;2022-06-28;8.0;1500.0;1380.0;Retail;Series E;$690;2022;42.33143;-83.04575
887;2281;Sidecar Health;Los Angeles;USA;North America;110.0;2022-06-28;40.0;275.0;165.0;Healthcare;Series C;$163;2022;34.05223;-118.24368
888;2283;Vezeeta;Dubai;United Arabian Emirates;Asia;50.0;2022-06-28;10.0;500.0;450.0;Healthcare;Series D;$71;2022;25.07725;55.30927
889;2284;Bright Machines;San Francisco Bay Area;USA;North America;30.0;2022-06-28;8.0;375.0;345.0;Data;Unknown;$250;2022;37.77493;-122.41942
890;2285;HealthMatch;Sydney;Australia;Australia;18.0;2022-06-28;50.0;36.0;18.0;Healthcare;Series B;$20;2022;-33.86785;151.20732
891;2289;AppLovin;San Francisco Bay Area;USA;North America;300.0;2022-06-27;12.0;2500.0;2200.0;Marketing;Post-IPO;$1600;2022;37.44188;-122.14302
892;2290;UiPath;New York City;USA;North America;210.0;2022-06-27;5.0;4200.0;3990.0;Data;Post-IPO;$2000;2022;40.71427;-74.00597
893;2291;Udaan;Bengaluru;India;Asia;180.0;2022-06-27;4.0;4500.0;4320.0;Retail;Unknown;;2022;12.97194;77.59369
894;2293;Banxa;Melbourne;Australia;Australia;70.0;2022-06-27;30.0;233.0;163.0;Crypto;Post-IPO;$13;2022;-37.814;144.96332
895;2294;SafeGraph;San Francisco Bay Area;USA;North America;27.0;2022-06-27;25.0;108.0;81.0;Data;Series B;$61;2022;37.77493;-122.41942
896;2297;Bitpanda;Vienna;Austria;Europe;270.0;2022-06-24;27.0;1000.0;730.0;Crypto;Series C;$546;2022;48.20849;16.37208
897;2298;Sunday;Atlanta;USA;North America;90.0;2022-06-24;23.0;391.0;301.0;Finance;Series A;$124;2022;33.749;-84.38798
898;2299;Bestow;Dallas;USA;North America;41.0;2022-06-24;14.0;293.0;252.0;Finance;Series C;$137;2022;32.78306;-96.80667
899;2300;Ethos Life;San Francisco Bay Area;USA;North America;40.0;2022-06-24;12.0;333.0;293.0;Finance;Series D;$406;2022;37.77493;-122.41942
900;2303;Netflix;San Francisco Bay Area;USA;North America;300.0;2022-06-23;3.0;10000.0;9700.0;Media;Post-IPO;$121900;2022;37.22661;-121.97468
901;2304;Aura;Boston;USA;North America;70.0;2022-06-23;9.0;778.0;708.0;Security;Series F;$500;2022;42.35843;-71.05977
902;2305;Pipl;Spokane;USA;North America;22.0;2022-06-23;13.0;169.0;147.0;Security;Unknown;$19;2022;47.65966;-117.42908
903;2306;Vouch;San Francisco Bay Area;USA;North America;15.0;2022-06-23;7.0;214.0;199.0;Finance;Series C;$159;2022;37.77493;-122.41942
904;2307;Voyage SMS;Los Angeles;USA;North America;8.0;2022-06-23;13.0;62.0;54.0;Marketing;Unknown;$10;2022;34.05223;-118.24368
905;2314;MasterClass;San Francisco Bay Area;USA;North America;120.0;2022-06-22;20.0;600.0;480.0;Education;Series E;$461;2022;37.77493;-122.41942
906;2315;IronNet;Washington DC;USA;North America;90.0;2022-06-22;35.0;257.0;167.0;Security;Post-IPO;$410;2022;38.89511;-77.03637
907;2317;IronNet;Washington DC;USA;North America;55.0;2022-06-22;17.0;324.0;269.0;Security;Post-IPO;$410;2022;38.89511;-77.03637
908;2319;Superpedestrian;Boston;USA;North America;35.0;2022-06-22;7.0;500.0;465.0;Transportation;Series C;$261;2022;42.35843;-71.05977
909;2320;Voi;Stockholm;Sweden;Europe;35.0;2022-06-22;10.0;350.0;315.0;Transportation;Series D;$515;2022;59.32938;18.06871
910;2322;Ritual;Toronto;Canada;North America;23.0;2022-06-22;16.0;144.0;121.0;Food;Series C;$134;2022;43.70643;-79.39864
911;2325;Ebanx;Curitiba;Brazil;South America;340.0;2022-06-21;20.0;1700.0;1360.0;Finance;Series B;$460;2022;-25.42778;-49.27306
912;2327;Community;Los Angeles;USA;North America;40.0;2022-06-21;30.0;133.0;93.0;Marketing;Unknown;$40;2022;34.05223;-118.24368
913;2328;Sourcegraph;San Francisco Bay Area;USA;North America;24.0;2022-06-21;8.0;300.0;276.0;Product;Series D;$248;2022;37.77493;-122.41942
914;2333;SummerBio;San Francisco Bay Area;USA;North America;101.0;2022-06-20;100.0;101.0;0.0;Healthcare;Unknown;$7;2022;37.45383;-122.18219
915;2334;Trax;Singapore;Singapore;Asia;100.0;2022-06-20;12.0;833.0;733.0;Retail;Series E;$1000;2022;1.28967;103.85007
916;2335;Aqgromalin;Chennai;India;Asia;80.0;2022-06-20;30.0;267.0;187.0;Food;Unknown;$12;2022;13.08784;80.27847
917;2336;Bonsai;Toronto;Canada;North America;30.0;2022-06-20;55.0;55.0;25.0;Retail;Series A;$27;2022;43.70643;-79.39864
918;2337;Brighte;Sydney;Australia;Australia;30.0;2022-06-20;15.0;200.0;170.0;Energy;Series C;$145;2022;-33.86785;151.20732
919;2340;CityMall;Gurugram;India;Asia;191.0;2022-06-19;30.0;637.0;446.0;Retail;Series C;$112;2022;28.4601;77.02635
920;2341;BitOasis;Dubai;United Arabian Emirates;Asia;9.0;2022-06-19;5.0;180.0;171.0;Crypto;Series B;$30;2022;25.07725;55.30927
921;2342;Unacademy;Bengaluru;India;Asia;150.0;2022-06-18;3.0;5000.0;4850.0;Education;Series H;$838;2022;12.97194;77.59369
922;2344;Socure;Reno;USA;North America;69.0;2022-06-17;13.0;531.0;462.0;Finance;Series E;$646;2022;39.52963;-119.8138
923;2345;Finite State;Columbus;USA;North America;16.0;2022-06-17;20.0;80.0;64.0;Security;Series B;$49;2022;39.96118;-82.99879
924;2346;JOKR;New York City;USA;North America;50.0;2022-06-16;5.0;1000.0;950.0;Food;Series B;$430;2022;40.71427;-74.00597
925;2347;Zumper;San Francisco Bay Area;USA;North America;45.0;2022-06-16;15.0;300.0;255.0;Real Estate;Series D;$178;2022;37.77493;-122.41942
926;2350;Swappie;Helsinki;Finland;Europe;250.0;2022-06-15;17.0;1471.0;1221.0;Retail;Series C;$169;2022;60.16952;24.93545
927;2351;Wealthsimple;Toronto;Canada;North America;159.0;2022-06-15;13.0;1223.0;1064.0;Finance;Unknown;$900;2022;43.70643;-79.39864
928;2352;Weee!;Fremont;USA;North America;150.0;2022-06-15;10.0;1500.0;1350.0;Food;Series E;$863;2022;33.66946;-117.82311
929;2353;Notarize;Boston;USA;North America;110.0;2022-06-15;25.0;440.0;330.0;Legal;Series D;$213;2022;42.35843;-71.05977
930;2355;Tonkean;San Francisco Bay Area;USA;North America;23.0;2022-06-15;23.0;100.0;77.0;Other;Series B;$83;2022;37.77493;-122.41942
931;2357;OpenWeb;Tel Aviv;Israel;Asia;14.0;2022-06-15;5.0;280.0;266.0;Media;Series E;$223;2022;32.08088;34.78057
932;2358;Swyft;Toronto;Canada;North America;10.0;2022-06-15;30.0;33.0;23.0;Logistics;Series A;$20;2022;43.70643;-79.39864
933;2361;Coinbase;San Francisco Bay Area;USA;North America;1100.0;2022-06-14;18.0;6111.0;5011.0;Crypto;Post-IPO;$549;2022;37.77493;-122.41942
934;2362;Redfin;Seattle;USA;North America;470.0;2022-06-14;8.0;5875.0;5405.0;Real Estate;Post-IPO;$319;2022;47.60621;-122.33207
935;2363;Compass;New York City;USA;North America;450.0;2022-06-14;10.0;4500.0;4050.0;Real Estate;Post-IPO;;2022;40.71427;-74.00597
936;2364;Sami;Sao Paulo;Brazil;South America;75.0;2022-06-14;15.0;500.0;425.0;Healthcare;Unknown;$36;2022;-23.5475;-46.63611
937;2365;Breathe;New Delhi;India;Asia;50.0;2022-06-14;33.0;152.0;102.0;Healthcare;Series A;$6;2022;28.65195;77.23149
938;2367;TIFIN;Boulder;USA;North America;24.0;2022-06-14;10.0;240.0;216.0;Crypto;Series D;$204;2022;40.01499;-105.27055
939;2370;BlockFi;New York City;USA;North America;250.0;2022-06-13;20.0;1250.0;1000.0;Crypto;Series E;$1000;2022;40.71427;-74.00597
940;2371;Wave Sports and Entertainment;Los Angeles;USA;North America;56.0;2022-06-13;33.0;170.0;114.0;Media;Series B;$65;2022;34.05223;-118.24368
941;2372;Studio;San Francisco Bay Area;USA;North America;33.0;2022-06-13;40.0;83.0;50.0;Education;Series B;$50;2022;37.77493;-122.41942
942;2375;Crypto.com;Singapore;Singapore;Asia;260.0;2022-06-10;5.0;5200.0;4940.0;Crypto;Unknown;$156;2022;1.28967;103.85007
943;2376;FarEye;New Delhi;India;Asia;250.0;2022-06-10;30.0;833.0;583.0;Logistics;Series E;$150;2022;28.65195;77.23149
944;2377;Berlin Brands Group;Berlin;Germany;Europe;100.0;2022-06-10;10.0;1000.0;900.0;Retail;Unknown;$1000;2022;52.52437;13.41053
945;2378;Sanar;Sao Paulo;Brazil;South America;60.0;2022-06-10;20.0;300.0;240.0;Healthcare;Unknown;$11;2022;-23.5475;-46.63611
946;2379;Freetrade;London;United Kingdom;Europe;45.0;2022-06-10;15.0;300.0;255.0;Finance;Unknown;$133;2022;51.50853;-0.12574
947;2380;Albert;Los Angeles;USA;North America;20.0;2022-06-10;8.0;250.0;230.0;Finance;Series C;$175;2022;34.05223;-118.24368
948;2384;OneTrust;Atlanta;USA;North America;950.0;2022-06-09;25.0;3800.0;2850.0;Security;Series C;$926;2022;33.749;-84.38798
949;2385;Stitch Fix;San Francisco Bay Area;USA;North America;330.0;2022-06-09;15.0;2200.0;1870.0;Retail;Post-IPO;$79;2022;37.77493;-122.41942
950;2387;Convoy;Seattle;USA;North America;90.0;2022-06-09;7.0;1286.0;1196.0;Logistics;Series E;$1100;2022;47.60621;-122.33207
951;2388;Hologram;Chicago;USA;North America;80.0;2022-06-09;40.0;200.0;120.0;Infrastructure;Series B;$82;2022;41.85003;-87.65005
952;2389;Boozt;Malmö;Sweden;Europe;70.0;2022-06-09;5.0;1400.0;1330.0;Retail;Post-IPO;$56;2022;55.60587;13.00073
953;2390;The Grommet;Boston;USA;North America;40.0;2022-06-09;100.0;40.0;0.0;Retail;Acquired;$5;2022;42.35843;-71.05977
954;2391;Stashaway;Singapore;Singapore;Asia;31.0;2022-06-09;14.0;221.0;190.0;Finance;Series D;$61;2022;1.28967;103.85007
955;2392;Preply;Boston;USA;North America;26.0;2022-06-09;5.0;520.0;494.0;Education;Series C;$100;2022;42.35843;-71.05977
956;2396;Sonder;San Francisco Bay Area;USA;North America;250.0;2022-06-08;21.0;1190.0;940.0;Travel;Post-IPO;$839;2022;37.77493;-122.41942
957;2398;Truepill;San Francisco Bay Area;USA;North America;150.0;2022-06-08;15.0;1000.0;850.0;Healthcare;Series D;$255;2022;37.66882;-122.0808
958;2399;iPrice Group;Kuala Lumpur;Malaysia;Asia;50.0;2022-06-08;20.0;250.0;200.0;Retail;Unknown;$26;2022;3.1412;101.68653
959;2401;Cazoo;London;United Kingdom;Europe;750.0;2022-06-07;15.0;5000.0;4250.0;Transportation;Post-IPO;$2000;2022;51.50853;-0.12574
960;2402;Cazoo;London;United Kingdom;Europe;750.0;2022-06-07;15.0;5000.0;4250.0;Transportation;Post-IPO;;2022;51.50853;-0.12574
961;2403;Rupeek;Bengaluru;India;Asia;180.0;2022-06-07;15.0;1200.0;1020.0;Finance;Unknown;$172;2022;12.97194;77.59369
962;2405;Bird;Los Angeles;USA;North America;138.0;2022-06-07;23.0;600.0;462.0;Transportation;Post-IPO;$783;2022;34.05223;-118.24368
963;2412;Dutchie;Bend;USA;North America;50.0;2022-06-06;7.0;714.0;664.0;Other;Series D;$603;2022;44.05817;-121.31531
964;2418;Superhuman;San Francisco Bay Area;USA;North America;23.0;2022-06-03;22.0;105.0;82.0;Consumer;Series C;$108;2022;37.77493;-122.41942
965;2419;Food52;New York City;USA;North America;21.0;2022-06-03;15.0;140.0;119.0;Food;Acquired;$176;2022;40.71427;-74.00597
966;2423;Carbon Health;San Francisco Bay Area;USA;North America;250.0;2022-06-02;8.0;3125.0;2875.0;Healthcare;Series D;$522;2022;37.77493;-122.41942
967;2425;PolicyGenius;New York City;USA;North America;170.0;2022-06-02;25.0;680.0;510.0;Finance;Series E;$286;2022;40.71427;-74.00597
968;2426;Yojak;Gurugram;India;Asia;140.0;2022-06-02;50.0;280.0;140.0;Construction;Seed;$3;2022;28.4601;77.02635
969;2428;Gemini;New York City;USA;North America;100.0;2022-06-02;10.0;1000.0;900.0;Crypto;Unknown;$423;2022;40.71427;-74.00597
970;2429;Stord;Atlanta;USA;North America;59.0;2022-06-02;8.0;738.0;679.0;Logistics;Series D;$325;2022;33.749;-84.38798
971;2430;Gather;San Francisco Bay Area;USA;North America;30.0;2022-06-02;33.0;91.0;61.0;Consumer;Series B;$76;2022;37.44188;-122.14302
972;2432;IRL;San Francisco Bay Area;USA;North America;25.0;2022-06-02;25.0;100.0;75.0;Consumer;Series C;$197;2022;37.77493;-122.41942
973;2437;Cybereason;Boston;USA;North America;100.0;2022-06-01;6.0;1667.0;1567.0;Security;Series F;$750;2022;42.35843;-71.05977
974;2438;Udayy;Gurugram;India;Asia;100.0;2022-06-01;100.0;100.0;0.0;Education;Seed;$2;2022;28.4601;77.02635
975;2439;2TM;Sao Paulo;Brazil;South America;90.0;2022-06-01;12.0;750.0;660.0;Crypto;Unknown;$250;2022;-23.5475;-46.63611
976;2440;Curve;London;United Kingdom;Europe;65.0;2022-06-01;10.0;650.0;585.0;Finance;Series C;$182;2022;51.50853;-0.12574
977;2441;Loom;San Francisco Bay Area;USA;North America;34.0;2022-06-01;14.0;243.0;209.0;Product;Series C;$203;2022;37.77493;-122.41942
978;2443;Impala;London;United Kingdom;Europe;30.0;2022-06-01;35.0;86.0;56.0;Travel;Series B;$32;2022;51.50853;-0.12574
979;2449;Tomo;Stamford;USA;North America;44.0;2022-05-31;33.0;133.0;89.0;Finance;Series A;$110;2022;41.05343;-73.53873
980;2451;BookClub;Salt Lake City;USA;North America;12.0;2022-05-31;25.0;48.0;36.0;Education;Series A;$26;2022;40.76078;-111.89105
981;2453;SWVL;Dubai;United Arabian Emirates;Asia;400.0;2022-05-30;32.0;1250.0;850.0;Transportation;Post-IPO;$132;2022;25.07725;55.30927
982;2454;Mobile Premier League;Bengaluru;India;Asia;100.0;2022-05-30;10.0;1000.0;900.0;Consumer;Series E;$375;2022;12.97194;77.59369
983;2455;SumUp;Sao Paulo;Brazil;South America;100.0;2022-05-30;3.0;3333.0;3233.0;Finance;Unknown;$50;2022;-23.5475;-46.63611
984;2457;FrontRow;Bengaluru;India;Asia;145.0;2022-05-27;30.0;483.0;338.0;Education;Series A;$17;2022;12.97194;77.59369
985;2459;Uncapped;London;United Kingdom;Europe;29.0;2022-05-27;26.0;112.0;83.0;Finance;Unknown;$118;2022;51.50853;-0.12574
986;2463;VTEX;Sao Paulo;Brazil;South America;200.0;2022-05-26;13.0;1538.0;1338.0;Retail;Post-IPO;$365;2022;-23.5475;-46.63611
987;2464;Bitso;Mexico City;Mexico;North America;80.0;2022-05-26;11.0;727.0;647.0;Crypto;Series C;$378;2022;19.42847;-99.12766
988;2467;Lacework;San Francisco Bay Area;USA;North America;300.0;2022-05-25;20.0;1500.0;1200.0;Security;Series D;$1900;2022;37.38605;-122.08385
989;2468;Bolt;San Francisco Bay Area;USA;North America;240.0;2022-05-25;27.0;889.0;649.0;Finance;Series E;$1300;2022;37.77493;-122.41942
990;2470;Kontist;Berlin;Germany;Europe;50.0;2022-05-25;25.0;200.0;150.0;Finance;Series B;$53;2022;52.52437;13.41053
991;2471;Nuri;Berlin;Germany;Europe;45.0;2022-05-25;20.0;225.0;180.0;Finance;Series B;$42;2022;52.52437;13.41053
992;2472;Coterie Insurance;Cincinnati;USA;North America;30.0;2022-05-25;20.0;150.0;120.0;Finance;Series B;$70;2022;39.12711;-84.51439
993;2476;Gorillas;Berlin;Germany;Europe;300.0;2022-05-24;50.0;600.0;300.0;Food;Series C;$1300;2022;52.52437;13.41053
994;2479;Klarna;Stockholm;Sweden;Europe;700.0;2022-05-23;10.0;7000.0;6300.0;Finance;Unknown;$3700;2022;59.32938;18.06871
995;2481;Buenbit;Buenos Aires;Argentina;South America;80.0;2022-05-23;45.0;178.0;98.0;Crypto;Series A;$11;2022;-34.61315;-58.37723
996;2482;BeyondMinds;Tel Aviv;Israel;Asia;65.0;2022-05-23;100.0;65.0;0.0;Data;Series A;$16;2022;32.08088;34.78057
997;2483;ClickUp;San Diego;USA;North America;60.0;2022-05-23;7.0;857.0;797.0;Other;Series C;$537;2022;32.71571;-117.16472
998;2484;Airtime;New York City;USA;North America;30.0;2022-05-23;20.0;150.0;120.0;Consumer;Series B;$33;2022;40.71427;-74.00597
999;2486;MFine;Bengaluru;India;Asia;600.0;2022-05-21;75.0;800.0;200.0;Healthcare;Series C;$97;2022;12.97194;77.59369
1000;2487;Latch;New York City;USA;North America;130.0;2022-05-20;28.0;464.0;334.0;Security;Post-IPO;$342;2022;40.71427;-74.00597
1001;2488;Outside;Boulder;USA;North America;87.0;2022-05-20;15.0;580.0;493.0;Media;Series B;$174;2022;40.01499;-105.27055
1002;2489;Skillz;San Francisco Bay Area;USA;North America;70.0;2022-05-20;10.0;700.0;630.0;Consumer;Post-IPO;$287;2022;37.77493;-122.41942
1003;2490;Cars24;Gurugram;India;Asia;600.0;2022-05-19;6.0;10000.0;9400.0;Transportation;Series G;$1300;2022;28.4601;77.02635
1004;2491;Vedantu;Bengaluru;India;Asia;424.0;2022-05-18;7.0;6057.0;5633.0;Education;Series E;$292;2022;12.97194;77.59369
1005;2492;Netflix;San Francisco Bay Area;USA;North America;150.0;2022-05-17;1.0;15000.0;14850.0;Media;Post-IPO;$121900;2022;37.22661;-121.97468
1006;2493;Kry;Stockholm;Sweden;Europe;100.0;2022-05-17;10.0;1000.0;900.0;Healthcare;Series D;$568;2022;59.32938;18.06871
1007;2494;Picsart;Miami;USA;North America;90.0;2022-05-17;8.0;1125.0;1035.0;Consumer;Series C;$195;2022;25.77427;-80.19366
1008;2495;Zak;Sao Paulo;Brazil;South America;100.0;2022-05-16;40.0;250.0;150.0;Food;Series A;$29;2022;-23.5475;-46.63611
1009;2497;AliExpress Russia;Moscow;Russia;Europe;400.0;2022-05-14;40.0;1000.0;600.0;Retail;Acquired;$60;2022;55.75222;37.61556
1010;2504;DataRobot;Boston;USA;North America;70.0;2022-05-11;7.0;1000.0;930.0;Data;Series G;$1000;2022;42.35843;-71.05977
1011;2505;Carvana;Phoenix;USA;North America;2500.0;2022-05-10;12.0;20833.0;18333.0;Transportation;Post-IPO;;2022;33.44838;-112.07404
1012;2506;Doma;San Francisco Bay Area;USA;North America;310.0;2022-05-10;15.0;2067.0;1757.0;Finance;Post-IPO;$679;2022;37.77493;-122.41942
1013;2507;Pollen;London;United Kingdom;Europe;200.0;2022-05-10;33.0;606.0;406.0;Travel;Series C;$238;2022;51.50853;-0.12574
1014;2508;Latch;New York City;USA;North America;30.0;2022-05-10;6.0;500.0;470.0;Security;Post-IPO;$342;2022;40.71427;-74.00597
1015;2509;Meero;Paris;France;Europe;350.0;2022-05-09;50.0;700.0;350.0;Other;Series C;$293;2022;48.85341;2.3488
1016;2510;Vroom;New York City;USA;North America;270.0;2022-05-09;14.0;1929.0;1659.0;Transportation;Post-IPO;;2022;40.71427;-74.00597
1017;2511;Reef;Miami;USA;North America;750.0;2022-05-06;5.0;15000.0;14250.0;Transportation;Unknown;;2022;25.77427;-80.19366
1018;2513;Vedantu;Bengaluru;India;Asia;200.0;2022-05-05;3.0;6667.0;6467.0;Education;Series E;$292;2022;12.97194;77.59369
1019;2515;Mural;San Francisco Bay Area;USA;North America;90.0;2022-05-05;10.0;900.0;810.0;Product;Series C;$192;2022;37.77493;-122.41942
1020;2516;On Deck;San Francisco Bay Area;USA;North America;72.0;2022-05-05;25.0;288.0;216.0;Education;Series A;$20;2022;37.77493;-122.41942
1021;2517;SEND;Sydney;Australia;Australia;300.0;2022-05-04;100.0;300.0;0.0;Food;Seed;$3;2022;-33.86785;151.20732
1022;2519;Cameo;Chicago;USA;North America;87.0;2022-05-04;25.0;348.0;261.0;Consumer;Unknown;$165;2022;41.85003;-87.65005
1023;2520;Mainstreet;San Francisco Bay Area;USA;North America;45.0;2022-05-04;30.0;150.0;105.0;Finance;Series A;$64;2022;37.77493;-122.41942
1024;2525;Avo;Tel Aviv;Israel;Asia;500.0;2022-05-01;67.0;746.0;246.0;Food;Series B;$45;2022;32.08088;34.78057
1025;2527;Domestika;San Francisco Bay Area;USA;North America;150.0;2022-04-28;19.0;789.0;639.0;Education;Series D;$130;2022;37.87159;-122.27275
1026;2530;Robinhood;San Francisco Bay Area;USA;North America;340.0;2022-04-26;9.0;3778.0;3438.0;Finance;Post-IPO;$5600;2022;37.45383;-122.18219
1027;2531;Bonsai;Toronto;Canada;North America;29.0;2022-04-26;34.0;85.0;56.0;Retail;Series A;$27;2022;43.70643;-79.39864
1028;2534;Xiaohongshu;Shanghai;China;Asia;180.0;2022-04-21;9.0;2000.0;1820.0;Consumer;Series E;$917;2022;31.22222;121.45806
